Cues,Targets,FSG,BSG,Symm
MANAGEMENT,OWN,0.010,0,0.010
MANAGEMENT,RUN,0.010,0,0.010
MANAGEMENT,STAFF,0.010,0,0.010
MANAGEMENT,TIME,0.010,0,0.010
MANNER,APPEARANCE,0.010,0,0.010
MANNER,CHARACTERISTIC,0.010,0,0.010
MANNER,KIND,0.010,0,0.010
MANNER,NICE,0.010,0,0.010
MANNER,RUDE,0.010,0,0.010
MASTER,BEST,0.010,0,0.010
MASTER,BIG,0.010,0,0.010
MASTER,EXPERT,0.010,0,0.010
MASTER,OBEY,0.010,0,0.010
MASTER,POWER,0.010,0,0.010
MISCHIEF,BEHAVIOR,0.010,0,0.010
MISCHIEF,BRAT,0.010,0,0.010
MISCHIEF,DECEIVE,0.010,0,0.010
MISCHIEF,EVIL,0.010,0,0.010
MISCHIEF,MISTAKE,0.010,0,0.010
MISCHIEF,TRICK,0.010,0,0.010
MOMENT,LIVE,0.010,0,0.010
MOMENT,PAST,0.010,0,0.010
MOMENT,REASON,0.010,0,0.010
MOMENT,SILENCE,0.010,0,0.010
MOMENT,SOON,0.010,0,0.010
MOOD,ANGER,0.010,0,0.010
MOTHER,FRIEND,0.010,0,0.010
MOTHER,SUPPORT,0.010,0,0.010
MOVIE,WATCH,0.010,0,0.010
MUD,CLEAN,0.010,0,0.010
MYTH,FAKE,0.010,0,0.010
NEWSPAPER,BLACK,0.010,0,0.010
NEWSPAPER,BORING,0.010,0,0.010
NEWSPAPER,PAPER,0.010,0,0.010
NORM,COMMON,0.010,0,0.010
NORM,MAN,0.010,0,0.010
NORM,MEAN,0.010,0,0.010
NORM,UNUSUAL,0.010,0,0.010
NORM,WAY,0.010,0,0.010
NORM,WRONG,0.010,0,0.010
OPINION,BAD,0.010,0,0.010
OPINION,EXPRESS,0.010,0,0.010
OPINION,INDIVIDUAL,0.010,0,0.010
OPINION,OWN,0.010,0,0.010
OPINION,PERSON,0.010,0,0.010
OPINION,PERSONAL,0.010,0,0.010
OPINION,SNOB,0.010,0,0.010
OPINION,TRUTH,0.010,0,0.010
PANTHER,STALK,0.010,0,0.010
PATIENCE,CONTROL,0.010,0,0.010
PATIENCE,DOCTOR,0.010,0,0.010
PATIENCE,GOOD,0.010,0,0.010
PATIENCE,STRONG,0.010,0,0.010
PHOTO,COLOR,0.010,0,0.010
PHOTO,LAB,0.010,0,0.010
PHOTO,MAT,0.010,0,0.010
PHOTO,MODEL,0.010,0,0.010
PISTOL,BANG,0.010,0,0.010
PISTOL,BULLET,0.010,0,0.010
PISTOL,WEAPON,0.010,0,0.010
PLAN,ATTACK,0.010,0,0.010
PLAN,BUILD,0.010,0,0.010
PLAN,BUILDING,0.010,0,0.010
PLAN,LIFE,0.010,0,0.010
PLAN,MANAGEMENT,0.010,0,0.010
PLAN,OPERATION,0.010,0,0.010
PLAN,STUDY,0.010,0,0.010
PLAN,TRIP,0.010,0,0.010
POPE,HAT,0.010,0,0.010
POPE,LEADER,0.010,0,0.010
POPE,SACRED,0.010,0,0.010
POUCH,CARRY,0.010,0,0.010
POUCH,PIPE,0.010,0,0.010
POUCH,STOMACH,0.010,0,0.010
POUCH,WALLET,0.010,0,0.010
POWER,GLORY,0.010,0,0.010
POWER,GOD,0.010,0,0.010
POWER,GOVERNMENT,0.010,0,0.010
POWER,KING,0.010,0,0.010
POWER,LIGHT,0.010,0,0.010
POWER,LOVE,0.010,0,0.010
PRANK,BAD,0.010,0,0.010
PRANK,FOOL,0.010,0,0.010
PRANK,LIE,0.010,0,0.010
PRANK,MEAN,0.010,0,0.010
PRANK,PLAY,0.010,0,0.010
PREFERENCE,BEST,0.010,0,0.010
PREFERENCE,FAVOR,0.010,0,0.010
PREFERENCE,OPINION,0.010,0,0.010
PREFERENCE,TASTE,0.010,0,0.010
RANGE,BETWEEN,0.010,0,0.010
RANGE,CIRCLE,0.010,0,0.010
RANGE,COOKING,0.010,0,0.010
RANGE,COWBOY,0.010,0,0.010
RANGE,GOLF,0.010,0,0.010
RANGE,HOT,0.010,0,0.010
RANGE,LENGTH,0.010,0,0.010
RANGE,MICROWAVE,0.010,0,0.010
RANGE,PRAIRIE,0.010,0,0.010
RANGE,SCALE,0.010,0,0.010
RANGE,WEST,0.010,0,0.010
REASON,ARGUMENT,0.010,0,0.010
