CUE,TARGET, QSS, TSS
ACTOR,THEATER,14,15
ACTRESS,ACTOR,11,14
ACTRESS,MOVIE,11,21
ACTRESS,WOMAN,11,7
ACTRESS,STAR,11,16
ACTRESS,FAME,11,13
ACTRESS,TELEVISION,11,19
ACTRESS,GIRL,11,8
ACTRESS,ACT,11,16
ACTRESS,BEAUTY,11,17
ACTRESS,MODEL,11,20
ACTRESS,PRETTY,11,11
AD,NEWSPAPER,19,23
AD,COMMERCIAL,19,10
AD,PAPER,19,15
AD,SUBTRACT,19,6
AD,DROP,19,16
AD,MAGAZINE,19,13
AD,SELL,19,14
AD,CAMPAIGN,19,15
AD,CLASSIFIED,19, NULL
AD,TELEVISION,19,19
AD,BUSINESS,19,21
AD,COLUMN,19,17
AD,ADVERTISE,19, NULL
AD,ADVERTISEMENT,19,18
AD,GONE,19,20
AD,MESSAGE,19,16
AD,MONEY,19,19
AD,NEWS,19,20
AD,SALE,19,17
ADD,SUBTRACT,11,6
ADD,PLUS,11,4
ADD,MULTIPLY,11,11
ADD,MINUS,11,10
ADD,INCREASE,11,11
ADD,MATH,11,19
ADD,SUM,11,11
ADD,DROP,11,16
ADD,JOIN,11,20
ADD,MORE,11,9
ADD,NUMBERS,11,15
ADDICT,DRUGS,9,28
ADDICT,COCAINE,9,17
ADDICT,HEROIN,9,13
ADDICT,HOOKED,9,19
ADDICT,ALCOHOL,9,12
ADDICT,CRAZY,9,16
ADDICT,NEED,9,8
ADDICT,DEPENDENT,9,12
ADDICT,HELPLESS,9, NULL
ADDICTION,DRUG,8,20
ADDICTION,COCAINE,8,17
ADDICTION,NEED,8,8
ADDICTION,PROBLEM,8,13
ADDICTION,JANE'S,8, NULL
ADDICTION,CRACK,8,15
ADDICTION,BAD,8,9
ADDICTION,HABIT,8,17
ADDITION,SUBTRACTION,8,7
ADDITION,MATH,8,19
ADDITION,PLUS,8,4
ADDITION,MORE,8,9
ADDITION,ADD,8,11
ADDITION,ALSO,8, NULL
ADDITION,EXTRA,8,18
ADDITION,NUMBERS,8,15
ADDRESS,HOME,16,15
ADDRESS,PHONE,16,10
ADDRESS,HOUSE,16,13
ADDRESS,STREET,16,15
ADDRESS,BOOK,16,15
ADDRESS,MAIL,16,15
ADDRESS,NAME,16,20
ADDRESS,LETTER,16,15
ADDRESS,NUMBER,16,17
ADDRESS,RESIDENCE,16, NULL
ADDRESS,ZIPCODE,16, NULL
ADDRESS,CITY,16,18
ADDRESS,LIVE,16,18
ADDRESS,MINE,16,11
ADDRESS,NEWYORK,16,15
ADDRESS,TALK,16,18
ADJECTIVE,NOUN,11,7
ADJECTIVE,VERB,11,10
ADJECTIVE,ADVERB,11,12
ADJECTIVE,DESCRIBE,11,12
ADJECTIVE,ENGLISH,11,16
ADJECTIVE,OBJECTIVE,11,16
ADJECTIVE,PRONOUN,11,13
ADJECTIVE,BLUE,11,14
ADJECTIVE,LEARN,11,19
