"cues","BOI","Concrete","SUBTLEX","AoA","n"
"beverage",6.208333333,4.6,2.0792,6.63,20
"bib",5.375,4.79,1.415,4.53,15
"bible",5.826086957,4.61,2.9713,4.95,22
"bicep",5.666666667,4.67,1.2304,8.67,21
"bicycle",6.08,4.89,2.5289,4.26,16
"bifocal",4.9,4.1,0.301,11.39,11
"bifocals",5.875,4.64,1,10.72,19
"bike",6.48,5,3.1209,4.79,18
"bill",5.111111111,4.68,3.7812,6.42,16
"billfold",5.444444444,4.71,1.1139,9.38,18
"billiards",4.925925926,4.61,1.5315,10.63,16
"bin",5.260869565,4.72,2.4393,4.68,17
"binoculars",6.16,5,1.9085,6.79,21
"biologist",4.48,3.96,1.8129,10.9,17
"bird",4.896551724,5,3.3653,3.52,21
"birdbath",4.916666667,4.96,1.0414,5.95,14
"birdseed",5.739130435,4.96,1.2788,6.7,16
"birthmark",4.333333333,4.35,1.9345,6.85,14
"biscuit",5.964285714,4.9,2.2833,4.63,25
"bisque",4.28,4.08,1.3222,14,15
"bistro",4.518518519,4.44,1.6721,11.79,15
"blackberry",5.416666667,4.97,1.5911,8.95,19
"blackboard",5.392857143,4.72,1.7853,5.42,17
"blackhead",4.739130435,4.71,0.699,10.83,11
"blackheads",4.260869565,4.79,0.7782,NA,14
"blade",5.833333333,4.93,2.8222,6.72,20
"blanket",6.56,5,2.8215,3.61,14
"blazer",5.652173913,4.79,1.7993,9.6,21
"bleach",5.32,4.74,2.0755,8,16
"bleacher",5.083333333,4.14,0.6021,NA,18
"blender",5.739130435,5,1.9345,6.84,16
"blindfold",5.125,4.57,1.9494,8.11,21
"blister",5.2,4.71,1.6902,6.74,14
"block",5.413793103,4.48,3.3156,4.79,17
"bloke",4.541666667,3.89,2.3784,13.88,12
"blood",5.32,4.86,3.9774,4.89,23
"bloodhound",4.833333333,4.76,1.7076,11.32,20
"bloomers",4.4,4.26,1.3979,9.24,16
"blouse",6.47826087,4.96,2.4362,6.65,21
"blower",4.48,4.07,1.2553,8.32,15
"blowgun",4.625,4.83,0.6021,10.89,17
"blowpipe",5,4.42,0.699,11.82,8
"blowtorch",5.541666667,4.93,1.6435,9.94,15
"blueberry",6,4.96,2.1206,6.22,17
"bluefish",4.48,4.79,0.9542,8.76,15
"blueprint",4.833333333,4.77,1.8062,9.39,18
"boa",4.333333333,4.92,1.8261,9.56,19
"board",4.48,4.57,3.5149,6.37,19
"boardinghouse",4.565217391,4.5,0.8451,10.95,14
"boat",5.130434783,4.93,3.689,3.84,17
"boathouse",4.52173913,4.78,1.6021,10.21,16
"boatman",4.76,4.73,1.4914,8.72,16
"bobsleigh",5.64,4.77,1.1139,8.69,12
"bodice",4.80952381,4.78,1.0792,14.5,12
"body",6.038461538,4.79,3.9988,4.28,21
"bodybuilder",4.958333333,4.43,1.1761,10.75,18
"bodyguard",4.72,4.75,2.4669,10,11
"bolt",4.925925926,4.67,2.5465,7.28,16
"bomb",4.384615385,4.84,3.4373,8,14
"bonbon",4.807692308,4.61,1.415,9.28,12
