"Cue","Target","AFS","AFSS","FSG","COS"
"aircraftsman","play",0.111111111,7,NA,NA
"airman","direct",0.0625,12,NA,NA
"airman","fight",0.0625,12,NA,NA
"airman","fly",0.3125,12,NA,NA
"airman","maintain",0.0625,12,NA,NA
"airman","pass",0.0625,12,NA,NA
"airman","ride",0.0625,12,NA,NA
"airman","salut",0.0625,12,NA,NA
"airman","speak",0.0625,12,NA,NA
"airman","sue",0.0625,12,NA,NA
"airman","talk",0.0625,12,NA,NA
"airman","thank",0.0625,12,NA,NA
"airman","war",0.0625,12,NA,NA
"airplane","carry",0.027777778,25,NA,0.176238243
"airplane","crash",0.027777778,25,0.096,0.066305163
"airplane","drink",0.027777778,25,NA,NA
"airplane","eat",0.027777778,25,NA,NA
"airplane","enjoy",0.027777778,25,NA,NA
"airplane","experience",0.027777778,25,NA,NA
"airplane","far",0.027777778,25,NA,NA
"airplane","fight",0.027777778,25,NA,NA
"airplane","fix",0.027777778,25,NA,0.039179428
"airplane","flie",0.027777778,25,NA,NA
"airplane","fly",0.138888889,25,0.32,0.215800781
"airplane","hijack",0.027777778,25,NA,NA
"airplane","look",0.027777778,25,NA,NA
"airplane","move",0.027777778,25,NA,0.132273411
"airplane","play",0.027777778,25,NA,NA
"airplane","ride",0.083333333,25,0.01,0.264376683
"airplane","ruin",0.027777778,25,NA,NA
"airplane","sit",0.027777778,25,NA,0.067117486
"airplane","sleep",0.027777778,25,NA,NA
"airplane","trade",0.027777778,25,NA,0.107965807
"airplane","transport",0.027777778,25,NA,NA
"airplane","travel",0.138888889,25,0.015,0.205272932
"airplane","war",0.055555556,25,NA,NA
"airplane","work",0.027777778,25,NA,NA
"airplane","work on",0.027777778,25,NA,NA
"album","appreciate",0.016949153,30,NA,NA
"album","art",0.016949153,30,NA,NA
"album","buy",0.016949153,30,NA,NA
"album","clean",0.016949153,30,NA,NA
"album","collect",0.016949153,30,NA,NA
"album","create",0.033898305,30,NA,NA
"album","critique",0.016949153,30,NA,NA
"album","decorate",0.033898305,30,NA,NA
"album","design",0.016949153,30,NA,NA
"album","destroy",0.016949153,30,NA,NA
"album","display",0.016949153,30,NA,NA
"album","insert",0.016949153,30,NA,NA
"album","keep",0.016949153,30,NA,NA
"album","listen",0.220338983,30,NA,0.028773977
"album","look",0.033898305,30,NA,NA
"album","make",0.016949153,30,NA,NA
