"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA","Length","n.unique","n.unique.affordance","total.affordance"
"artichoke",34,5.708333333,4.63,1.4624,10,9,27,24,76
"artifact",43,4.416666667,4.5,1.7559,10.33,8,35,30,67
"artist",37,4.782608696,4.24,3.1647,6.78,6,26,26,80
"ash",56,4.333333333,4.96,2.6721,6.63,3,69,56,118
"ashcan",25,4.571428571,4.78,0.9031,10.67,6,31,24,40
"ashtray",29,5.44,4.97,2.2227,5.95,7,32,27,60
"asparagus",39,5.56,4.96,1.7076,6.79,9,28,27,83
"ass",41,5.304347826,4.67,4.0624,7.84,3,32,25,62
"assassin",24,4.32,4.43,2.4814,11.28,8,25,24,42
"assemblyman",24,4.72,3.74,1.5798,12.89,11,28,23,38
"asshole",36,4.5,4.08,3.4973,9.52,7,32,27,56
"astronaut",46,4.357142857,4.75,2.3075,6.28,9,27,21,55
"athlete",44,4.916666667,4.3,2.3729,7.11,7,25,22,67
"atlas",34,5.166666667,4.79,1.7243,7.9,5,26,23,53
"attendant",40,5.083333333,4.44,2.2014,9.79,9,25,22,57
"attire",36,5.086956522,4.47,1.8865,11.22,6,29,22,65
"attorney",31,4.72,4.52,3.3141,10.95,8,32,24,53
"auditorium",34,4.392857143,4.7,1.9085,6.94,10,31,26,68
"aunt",35,5.041666667,4.17,3.4496,3.8,4,32,24,59
"author",44,4.4,4.26,2.6085,7.1,6,30,27,83
"auto",30,4.391304348,4,2.5933,7.22,4,34,23,63
"automobile",59,5.64,4.96,2.4654,7.11,10,26,23,98
"automotive",35,4.454545455,4.19,1.5315,7.89,10,25,22,65
"avocado",39,6.24137931,4.89,1.7993,9.29,7,30,28,80
"awning",33,4.565217391,4.61,1.3979,11.06,6,26,25,63
"axe",62,6.153846154,5,2.3979,6.11,3,97,93,263
"axle",29,4.904761905,4.5,1.8062,10.85,4,33,20,42
"azalea",29,5.263157895,4.4,0.8451,13,6,27,18,60
"babe",28,4.555555556,3.67,3.2589,6.61,4,28,21,44
"baby",61,6.285714286,5,4.4146,3.84,4,28,26,97
"backboard",33,4.565217391,4.93,1.3979,8.63,9,27,22,41
"backbone",40,4.64,4.19,1.9294,6.95,8,34,28,63
"backdoor",16,5.2,4.5,1.4914,6.11,8,26,21,41
"backgammon",27,4.869565217,4.47,1.5798,10,10,28,26,55
"backpack",33,5.72,4.96,2.2718,5.38,8,28,22,63
"backscratcher",30,5.52,4.58,0.7782,6.63,13,26,26,73
"bacon",32,5.916666667,4.9,2.7825,5,5,25,24,76
"badge",45,5.72,4.93,2.8915,6.11,5,30,29,70
"badminton",22,4.92,4.7,1.301,10.94,9,26,20,51
"bag",30,6.038461538,4.9,3.681,4.28,3,24,23,54
"baggage",40,5.965517241,4.43,2.5038,7.52,7,30,26,82
"bagpipe",52,5.761904762,4.97,1.2041,9.33,7,50,44,107
"bait",17,4.375,4.45,2.6964,7.11,4,26,24,49
"baklava",34,5.454545455,4.32,1.2041,15.69,7,29,26,75
"balcony",37,4.739130435,4.68,2.5729,8.1,7,35,33,81
"ball",44,6.608695652,5,3.7287,2.9,4,33,32,154
"ballerina",35,4.695652174,4.61,2.0755,5.26,9,28,26,73
"balloon",36,5.523809524,4.92,2.6464,4.37,7,34,32,100
"balloonist",34,4.275862069,4.5,0.6021,9.94,10,26,24,56
"ballot",32,4.434782609,4.73,1.8451,8.83,6,26,24,53
"ballplayer",24,4.56,4.68,1.5185,7.42,10,27,20,43
"balm",20,4.583333333,3.68,1.4914,10.28,4,33,22,43
"bamboo",45,5.68,4.86,1.9085,9.28,6,25,22,76
"banana",29,6.107142857,5,2.7388,3.78,6,25,23,76
"band",22,4.384615385,4.68,3.4354,6.16,4,27,26,53
"bandage",49,6.304347826,4.85,2.1673,5.94,7,29,27,79
"bangle",29,5.115384615,4.38,0.7782,8.65,6,33,25,57
"banister",30,5.130434783,4.75,1.8325,10,8,27,25,51
"banjo",34,6.291666667,4.9,1.9243,8.44,5,29,28,60
"bank",34,4.72,4.78,3.637,6.44,4,25,22,67
"bankbook",30,5.363636364,4.81,0.9542,11.47,8,26,22,47
"banknote",30,4.52173913,4.88,0.8451,12.18,8,29,21,43
"banquet",30,4.538461538,4,2.4216,8.35,7,30,23,56
"barbecue",18,4.833333333,4.52,2.6599,7.83,8,26,21,46
"barber",33,4.958333333,4.59,2.4472,6.68,6,34,31,72
"barkeep",28,4.260869565,4.22,1.7076,14.37,7,25,24,49
"barley",34,4.541666667,4.59,1.6721,9.8,6,26,20,61
"barman",35,4.818181818,4.46,1.4624,13.33,6,27,24,64
"barn",21,5.173913043,4.79,2.8414,4.5,4,27,21,48
"barnacle",34,4.260869565,4.92,1.5185,11.6,8,28,22,47
"barrel",39,5.304347826,4.86,2.7348,7.72,6,26,21,76
"barrette",36,6,4.12,0.9542,6.71,8,25,23,50
"barricade",38,4.28,4.57,1.8808,11.18,9,35,35,79
"bartender",43,4.64,4.82,2.6981,8.9,9,39,34,100
"baseball",46,6.037037037,4.86,3.1103,4.83,8,35,33,138
"baseboard",26,5.375,4.9,1,10.71,9,27,20,37
"basement",37,4.6,4.89,3.0314,6.74,8,26,23,83
"basil",27,5.916666667,4.76,1.8451,10.13,5,25,25,66
"basin",27,4.818181818,4.63,1.9868,10,5,29,23,56
"basket",32,6.391304348,5,2.828,5.67,6,25,23,67
"basketball",41,6.25,4.97,3.0382,5.3,10,28,26,105
"bass",45,4.37037037,4.31,2.5866,8.63,4,36,26,84
"bassinet",21,5.375,4.71,1.2788,9.18,8,25,20,37
"bat",52,5.041666667,5,3.0224,4.85,3,39,37,115
"bath",29,5.964285714,4.85,3.2009,3.23,4,25,23,69
"bathe",25,5.214285714,4.19,2.1106,5,5,33,28,62
"bathroom",43,6,4.52,3.4978,3,8,38,37,116
"bathtub",34,6.565217391,4.92,2.4942,3.22,7,28,26,79
"baton",37,5.913043478,4.64,2.1644,7.94,5,26,24,65
"battery",22,4.8,4.67,2.8021,5.58,7,27,23,48
"battleship",39,4.36,4.81,1.9445,7.58,10,30,26,70
"bayonet",35,4.916666667,4.77,1.9085,11,7,27,24,60
"bazooka",28,5.041666667,4.66,1.6721,10.53,7,29,29,61
"beach",45,5.666666667,4.79,3.4607,4.8,5,26,24,95
"beachwear",25,6.304347826,4.64,0.4771,7.74,9,25,24,62
"bead",25,5.545454545,4.9,1.7634,5.63,4,34,24,53
"beagle",45,5.2,4.81,1.8129,7.39,6,33,28,88
"beaker",32,5.416666667,4.72,1.3617,11.25,6,28,24,59
"beanstalk",42,4.5,4.7,1.2788,6.05,9,36,33,103
"beard",36,5.565217391,4.96,2.8089,4.84,5,33,27,78
"beautician",37,4.608695652,4.69,1.0792,10.11,10,30,23,47
"bed",39,6.36,5,3.9797,2.89,3,25,25,100
"bedclothes",39,5.708333333,4.63,1,9,10,24,23,75
"bedpost",30,5.346153846,4.79,1.2304,6.62,7,26,22,51
"bedroom",34,5.708333333,4.9,3.2725,3.9,7,33,31,122
"bedspread",52,6.08,4.85,1.3802,7.72,9,39,37,124
"beef",36,5.714285714,4.74,3.0026,6.58,4,32,29,81
"beefcake",34,4.458333333,3.9,1,NA,8,34,32,66
"beefsteak",32,5.227272727,4.76,1.5798,10.26,9,25,23,71
"beer",47,5.791666667,4.88,3.5856,6.11,4,37,36,109
"beet",40,5.32,4.8,1.1761,6.56,4,33,27,100
"beetle",25,5.166666667,4.83,2.0253,5.32,6,26,21,39
"beggar",26,4.28,4.59,2.1038,7.63,6,25,20,43
"bell",39,5.76,4.96,3.3025,3.89,4,27,24,69
"bellboy",27,4.8,4.39,1.8062,7.95,7,29,22,48
"bellflower",55,4.428571429,4.26,0.6021,NA,10,32,30,97
"bellman",33,4.32,4.89,1.7482,10.11,7,29,19,55
"belly",38,5.846153846,4.8,2.9004,4.05,5,32,24,62
"belongings",35,5.173913043,3.88,2.1903,9.17,10,29,22,52
"belt",42,5.80952381,4.9,3.0945,4.62,4,36,33,80
"bench",34,6.166666667,4.87,2.6937,4.21,5,29,28,83
"beret",26,5.695652174,4.8,1.6902,10.33,5,27,24,45
"berry",39,5.523809524,4.93,2.2529,5.21,5,36,31,94
"beverage",50,6.208333333,4.6,2.0792,6.63,8,34,30,113
"bib",23,5.375,4.79,1.415,4.53,3,25,22,55
"bible",43,5.826086957,4.61,2.9713,4.95,5,38,35,104
"bicep",37,5.666666667,4.67,1.2304,8.67,5,34,29,73
"bicycle",36,6.08,4.89,2.5289,4.26,7,25,22,74
"bifocals",51,5.875,4.64,1,10.72,8,52,46,117
"bike",58,6.48,5,3.1209,4.79,4,29,28,101
"bill",34,5.111111111,4.68,3.7812,6.42,4,25,24,53
"billfold",21,5.444444444,4.71,1.1139,9.38,8,31,25,42
"billiards",25,4.925925926,4.61,1.5315,10.63,9,31,28,52
"bin",29,5.260869565,4.72,2.4393,4.68,3,35,29,64
"binoculars",42,6.16,5,1.9085,6.79,10,37,36,105
"biologist",25,4.48,3.96,1.8129,10.9,9,30,22,55
"bird",38,4.896551724,5,3.3653,3.52,4,34,32,79
"birdbath",31,4.916666667,4.96,1.0414,5.95,8,25,22,56
"birdseed",26,5.739130435,4.96,1.2788,6.7,8,34,28,77
"birthmark",23,4.333333333,4.35,1.9345,6.85,9,28,21,34
