"Cue","Target","AFS","FSG","COS"
"actress","employ",0.0128205128205128,NA,NA
"actress","enjoy",0.0256410256410256,NA,NA
"actress","entertain",0.0256410256410256,NA,NA
"actress","fire",0.0128205128205128,NA,NA
"actress","fool",0.0128205128205128,NA,NA
"actress","grow",0.0128205128205128,NA,NA
"actress","hire",0.0128205128205128,NA,NA
"actress","hit",0.0128205128205128,NA,NA
"actress","hold",0.0128205128205128,NA,NA
"actress","hug",0.0128205128205128,NA,NA
"actress","include",0.0128205128205128,NA,NA
"actress","kiss",0.0128205128205128,NA,NA
"actress","laugh",0.0128205128205128,NA,NA
"actress","learn",0.0128205128205128,NA,NA
"actress","listen",0.0128205128205128,NA,NA
"actress","look",0.0128205128205128,NA,NA
"actress","pay",0.0128205128205128,NA,NA
"actress","perform",0.0128205128205128,NA,NA
"actress","photograph",0.0128205128205128,NA,NA
"actress","play",0.0641025641025641,NA,NA
"actress","portray",0.0128205128205128,NA,NA
"actress","praise",0.0128205128205128,NA,NA
"actress","pretend",0.0128205128205128,NA,0.389007777
"actress","produce",0.0128205128205128,NA,NA
"actress","respect",0.0128205128205128,NA,NA
"actress","see",0.0641025641025641,NA,NA
"actress","show",0.0384615384615385,NA,0.564053956
"actress","sing",0.0256410256410256,NA,NA
"actress","star",0.0128205128205128,0.046,NA
"actress","talk",0.0256410256410256,NA,NA
"actress","touch",0.0128205128205128,NA,NA
"actress","want",0.0128205128205128,NA,NA
"actress","watch",0.115384615384615,NA,0.155423536
"actress","write",0.0128205128205128,NA,NA
"acupuncture","effect",0.0232558139534884,NA,NA
"acupuncture","elevate",0.0232558139534884,NA,NA
"acupuncture","fix",0.0232558139534884,NA,NA
"acupuncture","heal",0.116279069767442,NA,NA
"acupuncture","insert",0.0232558139534884,NA,NA
"acupuncture","lay",0.0232558139534884,NA,NA
"acupuncture","learn",0.0232558139534884,NA,NA
"acupuncture","lesson",0.0232558139534884,NA,NA
"acupuncture","massage",0.0232558139534884,NA,NA
"acupuncture","need",0.0232558139534884,NA,NA
"acupuncture","pain",0.0465116279069767,NA,NA
"acupuncture","perform",0.0232558139534884,NA,NA
"acupuncture","poke",0.0465116279069767,NA,NA
"acupuncture","practice",0.0232558139534884,NA,NA
"acupuncture","quit",0.0232558139534884,NA,NA
"acupuncture","recover",0.0232558139534884,NA,NA
"acupuncture","relax",0.116279069767442,NA,NA
"acupuncture","relief",0.0930232558139535,NA,NA
"acupuncture","relieve",0.0465116279069767,NA,NA
"acupuncture","stab",0.0697674418604651,NA,NA
"acupuncture","stimulate",0.0232558139534884,NA,NA
"acupuncture","stress",0.0232558139534884,NA,NA
"acupuncture","study",0.0232558139534884,NA,NA
"acupuncture","therapy",0.0697674418604651,NA,NA
"acupuncture","weapon",0.0232558139534884,NA,NA
"adapter","buy",0.0612244897959184,NA,NA
"adapter","change",0.0204081632653061,NA,NA
"adapter","charge",0.183673469387755,NA,NA
"adapter","clean",0.0204081632653061,NA,NA
"adapter","connect",0.0816326530612245,NA,NA
"adapter","educate",0.0204081632653061,NA,NA
"adapter","forget",0.0204081632653061,NA,NA
"adapter","gift",0.0204081632653061,NA,NA
"adapter","help",0.0204081632653061,NA,NA
