Cue,Target,AFS,AFSS
acorn,plant,0.088607595,28
acorn,play,0.012658228,28
acorn,rake,0.012658228,28
acorn,see,0.025316456,28
acorn,smash,0.012658228,28
acorn,squirrel,0.012658228,28
acorn,step on,0.050632911,28
acorn,store,0.012658228,28
acorn,throw,0.113924051,28
acrobat,act,0.027027027,23
acrobat,cartwheel,0.027027027,23
acrobat,cheer,0.027027027,23
acrobat,compliment,0.027027027,23
acrobat,dance,0.027027027,23
acrobat,disciplin,0.027027027,23
acrobat,entertain,0.135135135,23
acrobat,fight,0.027027027,23
acrobat,flex,0.054054054,23
acrobat,fly,0.054054054,23
acrobat,hurt,0.027027027,23
acrobat,insult,0.027027027,23
acrobat,perform,0.081081081,23
acrobat,reach,0.054054054,23
acrobat,safety,0.027027027,23
acrobat,sneak,0.027027027,23
acrobat,swing,0.027027027,23
acrobat,talk,0.027027027,23
acrobat,teach,0.027027027,23
acrobat,trick,0.054054054,23
acrobat,watch,0.108108108,23
acrobat,wear,0.027027027,23
acrobat,work,0.054054054,23
actor,act,0.307692308,18
actor,cry,0.025641026,18
actor,emotion,0.025641026,18
actor,entertain,0.051282051,18
actor,gesture,0.025641026,18
actor,laugh,0.025641026,18
actor,listen,0.025641026,18
actor,perform,0.128205128,18
actor,play,0.153846154,18
actor,pretend,0.025641026,18
actor,punch,0.025641026,18
actor,run,0.025641026,18
actor,show,0.025641026,18
actor,sign,0.025641026,18
actor,sing,0.025641026,18
actor,talk,0.025641026,18
actor,watch,0.025641026,18
actor,yell,0.025641026,18
actress,act,0.155555556,26
actress,admire,0.022222222,26
actress,compliment,0.022222222,26
actress,congratulate,0.022222222,26
actress,critique,0.022222222,26
actress,cry,0.022222222,26
actress,dance,0.022222222,26
actress,endorse,0.022222222,26
actress,enjoy,0.066666667,26
actress,fool,0.022222222,26
actress,hit,0.022222222,26
actress,hold,0.022222222,26
actress,hug,0.022222222,26
actress,kiss,0.022222222,26
actress,laugh,0.022222222,26
actress,perform,0.022222222,26
actress,play,0.088888889,26
actress,pretend,0.022222222,26
actress,produce,0.022222222,26
actress,respect,0.022222222,26
actress,see,0.066666667,26
actress,show,0.044444444,26
actress,sing,0.044444444,26
actress,talk,0.022222222,26
actress,touch,0.022222222,26
actress,watch,0.111111111,26
acupuncture,effect,0.029411765,21
acupuncture,elevate,0.029411765,21
acupuncture,fix,0.029411765,21
acupuncture,heal,0.058823529,21
acupuncture,insert,0.029411765,21
acupuncture,massage,0.029411765,21
acupuncture,pain,0.058823529,21
acupuncture,poke,0.058823529,21
acupuncture,practice,0.029411765,21
acupuncture,prevent,0.029411765,21
acupuncture,quit,0.029411765,21
acupuncture,recover,0.029411765,21
acupuncture,relax,0.117647059,21
acupuncture,relief,0.088235294,21
acupuncture,relieve,0.029411765,21
acupuncture,stab,0.058823529,21
acupuncture,stimulate,0.029411765,21
acupuncture,stress,0.029411765,21
acupuncture,study,0.029411765,21
acupuncture,therapy,0.147058824,21
acupuncture,weapon,0.029411765,21
adapter,charge,0.272727273,14
adapter,clean,0.045454545,14
adapter,connect,0.045454545,14
adapter,educate,0.045454545,14
adapter,forget,0.045454545,14
adapter,gift,0.045454545,14
adapter,learn,0.045454545,14
adapter,play,0.045454545,14
adapter,plug,0.136363636,14
adapter,power,0.045454545,14
adapter,safety,0.045454545,14
adapter,scrap,0.045454545,14
adapter,share,0.090909091,14
adapter,throw,0.045454545,14
addict,feel,0.058823529,12
addict,find,0.058823529,12
addict,focus,0.058823529,12
addict,friend,0.058823529,12
addict,help,0.176470588,12
addict,intervene,0.058823529,12
addict,receive,0.058823529,12
addict,recover,0.058823529,12
addict,respect,0.058823529,12
addict,snort,0.058823529,12
addict,take,0.058823529,12
addict,use,0.235294118,12
adult,buy,0.047619048,18
adult,care,0.095238095,18
adult,chaperon,0.047619048,18
adult,comfort,0.047619048,18
adult,drive,0.047619048,18
adult,employ,0.047619048,18
adult,friend,0.047619048,18
adult,guide,0.047619048,18
adult,help,0.095238095,18
adult,hug,0.047619048,18
adult,kiss,0.047619048,18
adult,learn,0.095238095,18
adult,order,0.047619048,18
adult,pay,0.047619048,18
adult,talk,0.047619048,18
adult,teach,0.047619048,18
adult,watch,0.047619048,18
adult,work,0.047619048,18
advisor,advice,0.06779661,27
advisor,advise,0.033898305,27
advisor,ask,0.152542373,27
advisor,assist,0.016949153,27
advisor,call,0.016949153,27
advisor,decide,0.016949153,27
advisor,email,0.016949153,27
advisor,go,0.016949153,27
advisor,guide,0.016949153,27
advisor,help,0.13559322,27
advisor,inform,0.016949153,27
advisor,invest,0.016949153,27
advisor,manage,0.016949153,27
advisor,meet,0.016949153,27
advisor,mentor,0.016949153,27
advisor,need,0.016949153,27
advisor,pay,0.016949153,27
advisor,plan,0.050847458,27
advisor,prepare,0.016949153,27
advisor,question,0.06779661,27
advisor,recommend,0.016949153,27
advisor,resource,0.016949153,27
advisor,schedule,0.050847458,27
advisor,speak,0.06779661,27
advisor,talk,0.06779661,27
advisor,tell,0.016949153,27
advisor,utilize,0.016949153,27
afro,admire,0.034482759,18
afro,brush,0.034482759,18
afro,care,0.034482759,18
afro,clean,0.034482759,18
afro,comb,0.172413793,18
afro,comfort,0.034482759,18
afro,curl,0.034482759,18
afro,cut,0.034482759,18
afro,dry,0.068965517,18
afro,dye,0.034482759,18
afro,educate,0.034482759,18
afro,pick,0.068965517,18
afro,play,0.034482759,18
afro,style,0.172413793,18
afro,tease,0.034482759,18
afro,touch,0.034482759,18
afro,wash,0.068965517,18
afro,wear,0.034482759,18
aftershave,cool,0.041666667,16
aftershave,drink,0.041666667,16
aftershave,hydrate,0.041666667,16
aftershave,moisturize,0.041666667,16
aftershave,protect,0.041666667,16
aftershave,rinse,0.041666667,16
aftershave,rub,0.041666667,16
aftershave,rub in,0.041666667,16
aftershave,scoop,0.041666667,16
aftershave,shave,0.166666667,16
aftershave,smell,0.125,16
aftershave,spray,0.083333333,16
aftershave,throw,0.041666667,16
aftershave,touch,0.041666667,16
aftershave,wash,0.041666667,16
aftershave,wear,0.125,16
aircraft,adventure,0.026315789,25
aircraft,build,0.026315789,25
aircraft,carry,0.026315789,25
aircraft,clean,0.026315789,25
aircraft,crash,0.078947368,25
aircraft,flie,0.052631579,25
aircraft,flow,0.026315789,25
aircraft,fly,0.105263158,25
aircraft,hold,0.026315789,25
aircraft,land,0.052631579,25
aircraft,lift,0.026315789,25
aircraft,mail,0.026315789,25
aircraft,pollute,0.026315789,25
aircraft,ride,0.078947368,25
aircraft,send,0.052631579,25
aircraft,shoot,0.026315789,25
aircraft,sightsee,0.026315789,25
aircraft,sit,0.026315789,25
aircraft,skydive,0.026315789,25
aircraft,takeoff,0.026315789,25
aircraft,toy,0.026315789,25
aircraft,trade,0.026315789,25
aircraft,transport,0.052631579,25
aircraft,travel,0.078947368,25
aircraft,watch,0.026315789,25
aircraftsman,create,0.111111111,7
aircraftsman,defense,0.111111111,7
aircraftsman,explore,0.111111111,7
aircraftsman,fly,0.333333333,7
aircraftsman,pay,0.111111111,7
aircraftsman,pilot,0.111111111,7
aircraftsman,play,0.111111111,7
airman,direct,0.0625,12
airman,fight,0.0625,12
airman,fly,0.3125,12
airman,maintain,0.0625,12
airman,pass,0.0625,12
airman,ride,0.0625,12
airman,salut,0.0625,12
airman,speak,0.0625,12
airman,sue,0.0625,12
airman,talk,0.0625,12
airman,thank,0.0625,12
airman,war,0.0625,12
airplane,carry,0.027777778,25
airplane,crash,0.027777778,25
airplane,drink,0.027777778,25
airplane,eat,0.027777778,25
airplane,enjoy,0.027777778,25
airplane,experience,0.027777778,25
airplane,far,0.027777778,25
airplane,fight,0.027777778,25
airplane,fix,0.027777778,25
airplane,flie,0.027777778,25
airplane,fly,0.138888889,25
airplane,hijack,0.027777778,25
airplane,look,0.027777778,25
airplane,move,0.027777778,25
airplane,play,0.027777778,25
airplane,ride,0.083333333,25
airplane,ruin,0.027777778,25
airplane,sit,0.027777778,25
airplane,sleep,0.027777778,25
airplane,trade,0.027777778,25
airplane,transport,0.027777778,25
airplane,travel,0.138888889,25
airplane,war,0.055555556,25
airplane,work,0.027777778,25
airplane,work on,0.027777778,25
album,appreciate,0.016949153,30
album,art,0.016949153,30
album,buy,0.016949153,30
album,clean,0.016949153,30
album,collect,0.016949153,30
album,create,0.033898305,30
album,critique,0.016949153,30
album,decorate,0.033898305,30
album,design,0.016949153,30
album,destroy,0.016949153,30
album,display,0.016949153,30
album,insert,0.016949153,30
album,keep,0.016949153,30
album,listen,0.220338983,30
album,look,0.033898305,30
album,make,0.016949153,30
album,memory,0.033898305,30
album,music,0.101694915,30
album,photgraph,0.016949153,30
album,play,0.033898305,30
album,produce,0.033898305,30
album,record,0.033898305,30
album,reflection,0.016949153,30
album,sell,0.06779661,30
album,sing,0.016949153,30
album,store,0.016949153,30
album,suggest,0.016949153,30
album,tear,0.016949153,30
album,throw away,0.016949153,30
album,write,0.050847458,30
alcohol,carry,0.035714286,22
alcohol,celebrate,0.035714286,22
alcohol,cook,0.035714286,22
alcohol,drink,0.214285714,22
alcohol,drive,0.035714286,22
alcohol,ferment,0.071428571,22
alcohol,fix,0.035714286,22
alcohol,forget,0.035714286,22
alcohol,fun,0.035714286,22
alcohol,gift,0.035714286,22
alcohol,give,0.035714286,22
alcohol,hide,0.035714286,22
alcohol,ingest,0.035714286,22
alcohol,intoxicate,0.035714286,22
alcohol,mix,0.035714286,22
alcohol,party,0.035714286,22
alcohol,put in,0.035714286,22
alcohol,sanitize,0.035714286,22
alcohol,sip,0.035714286,22
alcohol,smell,0.035714286,22
alcohol,spit,0.035714286,22
alcohol,throw,0.035714286,22
ale,celebrate,0.047619048,11
ale,disinfect,0.047619048,11
ale,drink,0.428571429,11
ale,gift,0.047619048,11
ale,intoxicate,0.095238095,11
ale,make,0.047619048,11
ale,marinate,0.047619048,11
ale,mix,0.047619048,11
ale,pale,0.047619048,11
ale,pour,0.047619048,11
ale,throw,0.095238095,11
alfalfa,blend,0.028571429,22
alfalfa,consume,0.028571429,22
alfalfa,cook,0.057142857,22
alfalfa,cut,0.028571429,22
alfalfa,decorate,0.028571429,22
alfalfa,display,0.028571429,22
alfalfa,eat,0.142857143,22
alfalfa,feed,0.085714286,22
alfalfa,food,0.028571429,22
alfalfa,frolic,0.028571429,22
alfalfa,garden,0.057142857,22
alfalfa,garnish,0.028571429,22
alfalfa,give,0.057142857,22
alfalfa,grow,0.142857143,22
alfalfa,make,0.028571429,22
alfalfa,mow,0.028571429,22
alfalfa,plant,0.028571429,22
alfalfa,produce,0.028571429,22
alfalfa,season,0.028571429,22
alfalfa,sit,0.028571429,22
alfalfa,spraie,0.028571429,22
alfalfa,watch,0.028571429,22
algae,analyze,0.034482759,18
algae,biology,0.034482759,18
algae,clean,0.068965517,18
algae,cook,0.034482759,18
algae,cure,0.034482759,18
algae,decorate,0.034482759,18
algae,eat,0.103448276,18
algae,feed,0.068965517,18
algae,fight,0.034482759,18
algae,grow,0.103448276,18
algae,kill,0.034482759,18
algae,medicine,0.034482759,18
algae,plant,0.068965517,18
algae,remove,0.068965517,18
algae,shelter,0.034482759,18
algae,slip,0.034482759,18
algae,study,0.137931034,18
algae,throw away,0.034482759,18
almanac,burn,0.052631579,15
almanac,check,0.052631579,15
almanac,collect,0.052631579,15
almanac,door stop,0.052631579,15
almanac,farm,0.052631579,15
almanac,find,0.052631579,15
almanac,fire,0.052631579,15
almanac,forecast,0.052631579,15
almanac,grow,0.052631579,15
almanac,hunt,0.052631579,15
almanac,predict,0.052631579,15
almanac,read,0.210526316,15
almanac,recite,0.052631579,15
almanac,stack,0.052631579,15
almanac,study,0.105263158,15
almond,bake,0.117647059,23
almond,break,0.029411765,23
almond,chew,0.058823529,23
almond,cook,0.029411765,23
almond,count,0.029411765,23
almond,crush,0.029411765,23
almond,draw,0.029411765,23
almond,drink,0.029411765,23
almond,eat,0.176470588,23
almond,farm,0.029411765,23
almond,food,0.029411765,23
almond,garish,0.029411765,23
almond,harvest,0.029411765,23
almond,milk,0.029411765,23
almond,put in,0.029411765,23
almond,share,0.029411765,23
almond,shave,0.029411765,23
almond,smash,0.029411765,23
almond,snack,0.088235294,23
almond,spit,0.029411765,23
almond,topping,0.029411765,23
almond,trade,0.029411765,23
almond,turn,0.029411765,23
altar,ceremony,0.034482759,19
altar,cover,0.034482759,19
altar,cry,0.034482759,19
altar,decorate,0.034482759,19
altar,destroy,0.034482759,19
altar,look,0.034482759,19
altar,marriage,0.034482759,19
altar,marry,0.137931034,19
altar,praise,0.034482759,19
altar,pray,0.137931034,19
altar,preach,0.034482759,19
altar,sacrifice,0.068965517,19
altar,service,0.034482759,19
altar,stand,0.068965517,19
altar,take,0.034482759,19
altar,walk,0.068965517,19
altar,wed,0.034482759,19
altar,wedding,0.068965517,19
altar,worship,0.034482759,19
altarpiece,adorn,0.028571429,22
altarpiece,ceremony,0.028571429,22
altarpiece,decorate,0.085714286,22
altarpiece,depict,0.028571429,22
altarpiece,destroy,0.028571429,22
altarpiece,hold,0.028571429,22
altarpiece,hug,0.028571429,22
altarpiece,kiss,0.028571429,22
altarpiece,lay,0.028571429,22
altarpiece,lean,0.028571429,22
altarpiece,look,0.114285714,22
altarpiece,observe,0.085714286,22
altarpiece,organize,0.028571429,22
altarpiece,place,0.085714286,22
altarpiece,pray,0.085714286,22
altarpiece,rebuild,0.028571429,22
altarpiece,sacrifice,0.028571429,22
altarpiece,service,0.028571429,22
altarpiece,stand,0.028571429,22
altarpiece,symbol,0.028571429,22
altarpiece,throw,0.028571429,22
altarpiece,worship,0.085714286,22
aluminum,bend,0.04,16
aluminum,build,0.08,16
aluminum,cover,0.08,16
aluminum,cut,0.04,16
aluminum,drink,0.04,16
aluminum,fold,0.04,16
aluminum,forge,0.04,16
aluminum,heat,0.08,16
aluminum,hold,0.04,16
aluminum,keep,0.04,16
aluminum,melt,0.04,16
aluminum,sculpt,0.04,16
aluminum,shape,0.04,16
aluminum,store,0.08,16
aluminum,turn,0.04,16
aluminum,wrap,0.24,16
ambulance,carry,0.083333333,13
ambulance,drive,0.083333333,13
ambulance,follow,0.041666667,13
ambulance,help,0.125,13
ambulance,lay,0.041666667,13
ambulance,listen,0.041666667,13
ambulance,protect,0.041666667,13
ambulance,provide,0.041666667,13
ambulance,pull,0.041666667,13
ambulance,ride,0.208333333,13
ambulance,save,0.083333333,13
ambulance,transport,0.125,13
ambulance,watch,0.041666667,13
ammo,aim,0.023809524,29
ammo,blow,0.023809524,29
ammo,buy,0.023809524,29
ammo,carry,0.023809524,29
ammo,collect,0.023809524,29
ammo,debate,0.023809524,29
ammo,dissect,0.023809524,29
ammo,expend,0.023809524,29
ammo,fire,0.023809524,29
ammo,harm,0.023809524,29
ammo,hunt,0.047619048,29
ammo,hurt,0.023809524,29
ammo,install,0.023809524,29
ammo,load,0.023809524,29
ammo,pass,0.023809524,29
ammo,purchase,0.023809524,29
ammo,put in,0.023809524,29
ammo,reload,0.071428571,29
ammo,sell,0.023809524,29
ammo,shoot,0.261904762,29
ammo,stab,0.023809524,29
ammo,stash,0.023809524,29
ammo,store,0.023809524,29
ammo,stow,0.023809524,29
ammo,target,0.023809524,29
ammo,throw,0.023809524,29
ammo,trade,0.023809524,29
ammo,war,0.023809524,29
ammo,weapon,0.023809524,29
ammunition,battle,0.076923077,18
ammunition,buy,0.038461538,18
ammunition,defense,0.038461538,18
ammunition,fight,0.038461538,18
ammunition,find,0.038461538,18
ammunition,fire,0.038461538,18
ammunition,kill,0.115384615,18
ammunition,load,0.076923077,18
ammunition,make,0.038461538,18
ammunition,murder,0.038461538,18
ammunition,protect,0.038461538,18
ammunition,rob,0.038461538,18
ammunition,scare,0.038461538,18
ammunition,sell,0.038461538,18
ammunition,shoot,0.192307692,18
ammunition,trade,0.038461538,18
ammunition,war,0.038461538,18
ammunition,weapon,0.038461538,18
amphetamine,alter mood,0.052631579,14
amphetamine,awake,0.052631579,14
amphetamine,buy,0.052631579,14
amphetamine,digest,0.052631579,14
amphetamine,drug,0.052631579,14
amphetamine,help,0.052631579,14
amphetamine,meth,0.157894737,14
amphetamine,pain relief,0.052631579,14
amphetamine,perform,0.052631579,14
amphetamine,prescribe,0.052631579,14
amphetamine,suppress,0.052631579,14
amphetamine,take,0.210526316,14
amphetamine,throw away,0.052631579,14
amphetamine,try,0.052631579,14
amphibian,arrest,0.020408163,29
amphibian,attract,0.020408163,29
amphibian,bait,0.020408163,29
amphibian,care,0.020408163,29
amphibian,dissect,0.020408163,29
amphibian,eat,0.081632653,29
amphibian,entertain,0.020408163,29
amphibian,fear,0.020408163,29
amphibian,feed,0.020408163,29
amphibian,hold,0.040816327,29
amphibian,keep,0.020408163,29
amphibian,kick,0.020408163,29
amphibian,kill,0.040816327,29
amphibian,live,0.020408163,29
